task_clock,context_switches,cpu_migrations,page_faults,time_elapsed,size,threads
557.040473,683.0,2.0,2640,0.158931856,512,4
559.538673,746.0,23.0,2643,0.158841947,512,5
560.359008,780.0,27.0,2645,0.158217136,512,6
561.152799,838.0,26.0,2646,0.157364332,512,7
563.220956,936.0,11.0,2649,0.157752911,512,8
1832.636377,5.0,0.0,10302,1.838458197,1024,1
1903.067814,32.0,2.0,10316,0.992832627,1024,2
1964.82264,838.0,2.0,10318,0.711848392,1024,3
2004.035824,1855.0,2.0,10322,0.566025411,1024,4
2009.332188,2097.0,55.0,10323,0.566556519,1024,5
2016.622854,2382.0,62.0,10325,0.570242951,1024,6
2019.445485,2712.0,49.0,10326,0.566717818,1024,7
2027.833149,2940.0,15.0,10328,0.570593573,1024,8
7290.295134,25.0,0.0,41022,7.317457902,2048,1
8337.183919,2638.0,2.0,41036,4.3490256,2048,2
8505.926358,9328.0,2.0,41038,3.086617587,2048,3
8934.842414,17361.0,2.0,41041,2.537258662,2048,4
8973.50507,19196.0,347.0,41044,2.533136307,2048,5
9005.633123,21066.0,406.0,41045,2.518175675,2048,6
9074.312285,23510.0,407.0,41047,2.525067204,2048,7
9115.128933,24653.0,45.0,41049,2.512667341,2048,8
30206.183556,108.0,0.0,163902,30.301202083,4096,1
30580.61919,855.0,1.0,163917,15.908805149,4096,2
31600.732093,21949.0,2.0,163919,11.431485689,4096,3
32267.844771,48100.0,6.0,163921,9.108162237,4096,4
32355.638509,52832.0,392.0,163922,9.105642466,4096,5
32456.319223,63304.0,528.0,163925,9.117575723,4096,6
32640.261256,68040.0,452.0,163927,9.11228204,4096,7
32714.160392,80700.0,63.0,163929,9.079214093,4096,8
116325.910453,347.0,1.0,655422,116.788795553,8192,1
130474.181317,31546.0,3.0,655437,67.976596438,8192,2
135693.068865,164805.0,5.0,655438,49.081657018,8192,3
141560.570065,291733.0,6.0,655441,40.035726688,8192,4
144132.124806,353185.0,5918.0,655442,40.455020552,8192,5
141702.1443,375182.0,5623.0,655444,39.489138951,8192,6
136538.157186,348234.0,3276.0,655446,38.017457817,8192,7
143549.226984,454953.0,589.0,655448,39.46798169,8192,8
0.521824,0.0,0.0,63,0.000815637,16,1
1.150155,2.0,0.0,78,0.001895081,16,2
1.2627,4.0,0.0,81,0.001277225,16,3
1.394272,5.0,1.0,82,0.001311917,16,4
1.571159,11.0,1.0,85,0.001440625,16,5
1.858307,15.0,2.0,87,0.001605082,16,6
2.14034,21.0,3.0,89,0.001788291,16,7
2.418314,27.0,3.0,90,0.001968162,16,8
0.838792,0.0,0.0,71,0.001147655,32,1
1.487064,3.0,0.0,86,0.001475129,32,2
1.695527,6.0,0.0,87,0.001493089,32,3
1.887638,9.0,1.0,89,0.001507617,32,4
2.009547,12.0,1.0,92,0.001548036,32,5
2.171403,14.0,2.0,94,0.001623751,32,6
2.315116,16.0,2.0,95,0.001670908,32,7
2.413989,18.0,3.0,99,0.001728742,32,8
1.827601,0.0,0.0,101,0.002118982,64,1
3.062251,5.0,0.0,116,0.002397352,64,2
3.396383,16.0,0.0,118,0.00222176,64,3
3.991276,26.0,1.0,119,0.002333352,64,4
4.400017,36.0,2.0,121,0.002415902,64,5
4.528988,39.0,3.0,123,0.00253845,64,6
4.93055,51.0,2.0,125,0.002659946,64,7
5.03401,55.0,3.0,128,0.002672397,64,8
5.969556,0.0,0.0,221,0.006297775,128,1
9.249422,21.0,0.0,236,0.006132462,128,2
10.21523,51.0,0.0,238,0.005482827,128,3
13.058337,111.0,1.0,240,0.005870926,128,4
14.040424,152.0,3.0,242,0.005929575,128,5
14.658442,178.0,4.0,243,0.006031086,128,6
15.208486,211.0,4.0,246,0.006070111,128,7
16.023442,247.0,4.0,248,0.006130751,128,8
21.470206,0.0,0.0,702,0.021771318,256,1
35.168933,65.0,0.0,717,0.021615145,256,2
37.818284,218.0,0.0,718,0.018423588,256,3
48.750489,452.0,1.0,720,0.019689642,256,4
52.166701,582.0,7.0,722,0.020132562,256,5
55.697303,751.0,12.0,725,0.020455768,256,6
59.785218,881.0,12.0,726,0.021001093,256,7
64.239339,1118.0,7.0,728,0.021521067,256,8
83.450773,0.0,0.0,2622,0.083791939,512,1
131.320593,214.0,1.0,2637,0.077439527,512,2
160.82969,1296.0,2.0,2638,0.074945912,512,3
198.723524,2373.0,2.0,2641,0.076418631,512,4
213.078304,3019.0,58.0,2643,0.078352216,512,5
230.526234,3424.0,65.0,2644,0.081287604,512,6
250.081191,4315.0,56.0,2646,0.082503297,512,7
273.957526,5256.0,10.0,2648,0.085659053,512,8
330.129965,3.0,1.0,10302,0.334096909,1024,1
514.770292,184.0,2.0,10317,0.298988485,1024,2
567.449277,4674.0,1.0,10319,0.259235366,1024,3
664.745429,10962.0,4.0,10321,0.257668789,1024,4
688.854615,12572.0,106.0,10322,0.261412328,1024,5
723.978405,15017.0,149.0,10324,0.26058518,1024,6
779.57085,19627.0,128.0,10326,0.267168701,1024,7
846.977376,25553.0,16.0,10329,0.27286866,1024,8
1303.241706,23.0,0.0,41022,1.32804434,2048,1
2407.368259,7875.0,1.0,41036,1.406761684,2048,2
2703.653585,28269.0,2.0,41038,1.236945514,2048,3
3372.082024,54001.0,2.0,41040,1.262924549,2048,4
3594.507305,60682.0,1592.0,41042,1.277252549,2048,5
3920.370781,71946.0,1766.0,41044,1.324767718,2048,6
4316.998882,83178.0,1228.0,41046,1.368451353,2048,7
4771.854393,97224.0,63.0,41048,1.427588908,2048,8
5221.751133,96.0,3.0,163902,5.324418291,4096,1
8520.477776,3239.0,2.0,163918,4.889266037,4096,2
9289.834646,90788.0,4.0,163919,4.199266566,4096,3
10536.025344,188305.0,4.0,163921,4.074191534,4096,4
11089.758734,224941.0,2327.0,163923,4.10442609,4096,5
11728.825504,276803.0,2870.0,163924,4.13857021,4096,6
12729.476846,360584.0,2747.0,163926,4.267755932,4096,7
13901.896415,470299.0,99.0,163929,4.363745191,4096,8
20771.753626,277.0,2.0,655422,21.212038909,8192,1
39486.045514,116342.0,4.0,655437,22.943553888,8192,2
39083.723213,410582.0,4.0,655438,17.700153597,8192,3
50303.462499,855713.0,6.0,655441,18.808685028,8192,4
55299.265451,1.009973e6,26540.0,655443,19.701247512,8192,5
47151.142981,1.112346e6,11450.0,655444,16.718457701,8192,6
50511.848741,1.414122e6,10048.0,655447,16.837050296,8192,7
59368.362796,1.781412e6,541.0,655448,18.448448742,8192,8
0.954709,0.0,0.0,63,0.002079082,16,1
1.871471,2.0,0.0,78,0.002308714,16,2
1.673832,4.0,0.0,81,0.00140544,16,3
