task_clock,context_switches,cpu_migrations,page_faults,time_elapsed,size,threads
7.905702,0.0,0.0,49,0.008215149,64,1
29.441407,0.0,0.0,49,0.029742753,128,1
115.913866,0.0,0.0,49,0.116242819,256,1
462.047386,1.0,0.0,49,0.462386342,512,1
1850.083609,2.0,0.0,49,1.850395746,1024,1
7396.444499,6.0,0.0,49,7.396871173,2048,1
29498.812179,18.0,0.0,49,29.499488141,4096,1
117979.005374,56.0,0.0,49,117.98059445,8192,1
0.794501,0.0,0.0,49,0.001081577,16,1
2.459127,0.0,0.0,49,0.002781575,32,1
8.691183,0.0,0.0,49,0.008992002,64,1
33.225899,0.0,0.0,49,0.033518699,128,1
131.868654,0.0,0.0,49,0.13222029,256,1
526.520883,1.0,0.0,49,0.52688419,512,1
2108.359396,2.0,0.0,49,2.108671592,1024,1
8421.525384,6.0,0.0,49,8.42196779,2048,1
33584.599228,11.0,0.0,49,33.585225212,4096,1
134397.743065,50.0,0.0,49,134.399610998,8192,1
0.750382,0.0,0.0,58,0.000952167,16,1
1.226042,2.0,0.0,74,0.001127687,16,2
1.3944,4.0,0.0,75,0.001076868,16,3
1.490323,4.0,1.0,77,0.001075462,16,4
1.614353,7.0,1.0,79,0.001133501,16,5
1.682722,9.0,1.0,82,0.001158881,16,6
1.850302,10.0,4.0,84,0.00122481,16,7
1.908105,11.0,4.0,86,0.001257917,16,8
2.063205,0.0,0.0,58,0.002258074,32,1
2.565541,2.0,0.0,74,0.001768018,32,2
2.693716,3.0,0.0,75,0.001537706,32,3
2.844605,5.0,0.0,77,0.001438542,32,4
2.988253,6.0,1.0,79,0.001549974,32,5
3.018031,8.0,2.0,82,0.00151464,32,6
3.126284,9.0,2.0,83,0.001561919,32,7
3.289178,12.0,4.0,86,0.001610435,32,8
7.213413,0.0,0.0,58,0.007423774,64,1
7.666963,2.0,0.0,74,0.004330105,64,2
7.952809,4.0,0.0,76,0.003276484,64,3
8.19742,5.0,2.0,78,0.003109903,64,4
8.146226,7.0,2.0,80,0.003048154,64,5
8.32245,10.0,3.0,81,0.002836272,64,6
8.52819,10.0,3.0,84,0.003015125,64,7
8.55114,12.0,4.0,86,0.003137306,64,8
27.689237,0.0,0.0,58,0.027926649,128,1
28.374815,2.0,0.0,74,0.014689698,128,2
28.756447,4.0,0.0,76,0.010286424,128,3
29.311832,5.0,1.0,77,0.008171605,128,4
29.632072,8.0,2.0,80,0.00850548,128,5
29.838822,10.0,2.0,82,0.008631314,128,6
29.950365,12.0,4.0,83,0.008434156,128,7
29.893456,13.0,4.0,86,0.008404749,128,8
109.231751,0.0,0.0,58,0.109480091,256,1
111.941937,2.0,0.0,73,0.056571852,256,2
112.777981,4.0,0.0,76,0.03827166,256,3
115.087134,8.0,1.0,77,0.029845494,256,4
115.23066,13.0,2.0,80,0.029714385,256,5
114.657184,17.0,3.0,81,0.029445177,256,6
113.791124,18.0,3.0,83,0.029423475,256,7
115.364968,21.0,5.0,85,0.029813861,256,8
434.959501,1.0,0.0,58,0.435230713,512,1
436.912291,3.0,0.0,74,0.219079379,512,2
448.434978,5.0,0.0,76,0.150203734,512,3
453.858961,14.0,1.0,78,0.114382595,512,4
456.57818,24.0,3.0,79,0.115453436,512,5
454.975702,34.0,5.0,82,0.11471157,512,6
455.51516,43.0,4.0,83,0.114871928,512,7
457.273569,50.0,6.0,86,0.11541662,512,8
1744.567978,2.0,0.0,58,1.74491517,1024,1
1746.218832,5.0,1.0,74,0.873799947,1024,2
1805.155059,7.0,0.0,76,0.602574005,1024,3
1833.66762,18.0,2.0,78,0.459450193,1024,4
1821.134193,56.0,10.0,80,0.456536238,1024,5
1836.086089,94.0,10.0,82,0.460306253,1024,6
1837.825798,127.0,10.0,84,0.460663271,1024,7
1838.778647,162.0,10.0,86,0.461054996,1024,8
6964.424972,4.0,0.0,58,6.964836077,2048,1
6973.350166,10.0,0.0,74,3.487446686,2048,2
7168.146436,14.0,1.0,76,2.39032437,2048,3
7265.466966,35.0,2.0,78,1.817716152,2048,4
7257.539471,186.0,30.0,79,1.815694445,2048,5
7259.410832,334.0,42.0,81,1.815970435,2048,6
7251.186226,480.0,26.0,84,1.813958108,2048,7
7251.090234,622.0,12.0,86,1.814234066,2048,8
27812.125541,23.0,0.0,58,27.812852642,4096,1
27890.333318,26.0,0.0,74,13.946092933,4096,2
28734.822336,28.0,0.0,75,9.579307472,4096,3
29001.689489,80.0,1.0,78,7.252222297,4096,4
29216.742967,712.0,135.0,80,7.306706202,4096,5
29157.030179,1304.0,187.0,82,7.29117548,4096,6
29173.254961,1908.0,104.0,84,7.294604212,4096,7
29171.358165,2487.0,12.0,86,7.294684003,4096,8
111235.642094,76.0,0.0,58,111.237419586,8192,1
111400.400824,70.0,1.0,74,55.701600759,8192,2
115340.360153,78.0,0.0,76,38.448095423,8192,3
115990.419886,149.0,1.0,78,28.999732613,8192,4
115911.579842,2585.0,430.0,79,28.980242889,8192,5
116074.640326,5078.0,777.0,81,29.020688583,8192,6
115993.903233,7378.0,341.0,83,29.000701852,8192,7
116035.871194,9741.0,6.0,85,29.011111642,8192,8
0.381196,0.0,0.0,58,0.000571429,16,1
0.822658,2.0,0.0,73,0.00091342,16,2
1.020874,3.0,0.0,76,0.000966737,16,3
1.116567,6.0,1.0,77,0.000996093,16,4
1.300259,10.0,2.0,80,0.001121896,16,5
1.490299,16.0,2.0,82,0.001225846,16,6
1.659797,17.0,2.0,84,0.001280482,16,7
1.837238,26.0,4.0,85,0.001394774,16,8
